date,year,month,gold_open,gold_high,gold_low,gold_close,usd_open,usd_high,usd_low,usd_close,inflation_rate
2001-06-30,2001,6,264.70001220703125,277.0,264.5,270.6000061035156,11441.0,11565.0,11265.0,11390.0,0.2256063169768563
2001-07-31,2001,7,269.3999938964844,270.3999938964844,263.70001220703125,266.20001220703125,11315.0,11490.0,9265.0,9500.0,-0.1688238604389269
2001-08-31,2001,8,266.20001220703125,279.29998779296875,265.79998779296875,274.3999938964844,9563.0,9840.0,8325.0,8863.0,0.0
2001-09-30,2001,9,271.6000061035156,294.0,271.6000061035156,292.3999938964844,9055.0,9820.0,8685.0,9708.0,0.3945885005636862
2001-10-31,2001,10,291.79998779296875,292.8999938964844,275.5,279.5,10035.0,10655.0,9625.0,10475.0,-0.2807411566535633
2001-11-30,2001,11,279.70001220703125,281.0,272.29998779296875,273.8999938964844,10500.0,11025.0,10200.0,10450.0,-0.0563063063063085
2001-12-31,2001,12,273.5,281.29998779296875,271.20001220703125,278.70001220703125,10475.0,10590.0,9880.0,10455.0,-0.0563380281690117
2002-01-31,2002,1,278.8999938964844,287.3999938964844,278.1000061035156,282.1000061035156,10435.0,10600.0,10195.0,10315.0,0.1691093573844337
2002-02-28,2002,2,282.29998779296875,308.0,282.20001220703125,296.70001220703125,10325.0,10440.0,10025.0,10150.0,0.1688238604389491
2002-03-31,2002,3,298.0,304.5,289.8999938964844,302.6000061035156,10090.0,10230.0,9400.0,9825.0,0.2808988764045006
2002-04-30,2002,4,302.6000061035156,312.5,297.5,308.8999938964844,9805.0,9950.0,9145.0,9330.0,0.4481792717086819
2002-05-31,2002,5,309.1000061035156,329.0,306.79998779296875,326.5,9310.0,9440.0,8575.0,8697.5,0.1115448968209698
2002-06-30,2002,6,326.6000061035156,330.29998779296875,313.5,313.5,8563.0,9170.0,8333.0,8713.0,0.0557103064066755
2002-07-31,2002,7,314.0,323.8999938964844,300.79998779296875,303.20001220703125,8720.0,9355.0,8593.0,9064.5,0.222717149220486
2002-08-31,2002,8,303.20001220703125,318.0,298.0,312.3999938964844,9097.0,9255.0,8675.0,8855.0,0.2777777777777768
2002-09-30,2002,9,312.5,325.8999938964844,312.5,323.8999938964844,8897.5,9168.0,8725.0,8994.0,0.1662049861495873
2002-10-31,2002,10,322.0,322.8999938964844,309.79998779296875,318.0,9003.5,9450.0,8897.0,9230.0,0.221238938053081
2002-11-30,2002,11,318.79998779296875,324.5,316.5,316.79998779296875,9223.0,9329.0,8850.0,8977.5,0.16556291390728
2002-12-31,2002,12,318.1000061035156,350.5,315.5,347.6000061035156,8950.0,9090.0,8716.0,8950.0,0.1652892561983643
2003-01-31,2003,1,346.1000061035156,372.0,345.20001220703125,368.2999877929688,8920.0,9043.0,8735.0,8870.0,0.4400440044004305
2003-02-28,2003,2,368.0,388.8999938964844,342.0,350.20001220703125,8875.0,9085.0,8745.0,8883.5,0.5476451259583737
2003-03-31,2003,3,349.20001220703125,356.79998779296875,326.0,335.8999938964844,8932.5,9195.0,8730.0,8901.5,0.1633986928104569
2003-04-30,2003,4,336.0,338.3999938964844,319.29998779296875,339.1000061035156,8900.0,8995.0,8590.0,8707.5,-0.3806416530723333
2003-05-31,2003,5,339.0,370.0,339.0,364.5,8685.0,8692.0,8670.0,8675.0,-0.16375545851528
2003-12-31,2003,12,397.2000122070313,417.2000122070313,397.0,415.7000122070313,8469.2998046875,8540.599609375,8331.099609375,8404.2998046875,0.2702702702702675
2004-01-31,2004,1,415.7000122070313,428.2000122070313,396.5,402.2000122070313,8416.0,8549.5,8205.0,8442.400390625,0.431266846361189
2004-02-29,2004,2,403.0,416.0,394.0,396.3999938964844,8437.599609375,8509.900390625,8287.0,8412.7998046875,0.2147074610842514
2004-03-31,2004,3,396.3999938964844,428.0,391.1000061035156,427.2999877929688,8382.900390625,8752.2001953125,8382.2001953125,8585.5,0.2142474558114671
2004-04-30,2004,4,427.2000122070313,432.0,380.0,387.0,8585.900390625,8814.599609375,8473.0,8665.5,0.1603420630678753
2004-05-31,2004,5,387.0,396.2999877929688,375.7999877929688,394.0,8657.900390625,9310.400390625,8605.2001953125,9256.900390625,0.4268943436499306
2004-06-30,2004,6,393.8999938964844,405.0,383.0,392.6000061035156,9258.099609375,9570.7998046875,9175.0,9409.099609375,0.3719447396386854
2004-07-31,2004,7,396.0,408.1000061035156,385.0,391.0,9410.599609375,9426.900390625,8740.0,9141.5,0.1058761249338235
